R,G,B,cluster
144,205,146,фальсификат
151,206,179,фальсификат
154,203,167,фальсификат
138,218,245,сливочное
159,227,189,кокосовое
156,225,194,кокосовое
165,225,187,кокосовое
163,222,185,кокосовое
166,225,181,кокосовое
158,194,144,фальсификат
146,211,131,фальсификат
125,225,226,сливочное
124,222,218,сливочное
130,221,230,сливочное
139,215,246,сливочное
168,229,177,кокосовое
160,198,146,фальсификат
155,222,192,кокосовое
152,225,188,кокосовое
155,219,185,кокосовое
157,218,182,кокосовое
150,200,172,фальсификат
149,225,184,кокосовое
147,229,181,кокосовое
130,212,245,сливочное
147,214,134,фальсификат
162,219,186,кокосовое
161,222,179,кокосовое
150,200,171,фальсификат
164,219,184,кокосовое
161,220,187,кокосовое
128,210,234,сливочное
